title_full,title,title_slug,url,category,bias_rating,factual_reporting,country,press_freedom_rating,media_type,traffic/popularity,mbfc_credibility_rating,mbfc’s_country_freedom_rating,mbfc’s_freedom_rating,press_freedom_rank,world_press_freedom_rank,mbfc’s_country_freedom_rank,mbfc’s_country_freedom_profile,press_freedom_rating_,mbfc_country_freedom_rating,reasoning,_world_press_freedom_rank,questionable_reasoning
Algemeen Dagblad (ad.nl),Algemeen Dagblad,algemeen-dagblad,https://mediabiasfactcheck.com/algemeen-dagblad/,center,LEAST BIASED,HIGH,Netherlands,EXCELLENT,Newspaper,High Traffic,HIGH CREDIBILITY,,,,,,,,,,,
AllAfrica,AllAfrica,allafrica,https://mediabiasfactcheck.com/allafrica/,center,LEAST BIASED,HIGH,South Africa,MOSTLY FREE,Website,Medium Traffic,HIGH CREDIBILITY,,,,,,,,,,,
Alliance For Securing Democracy (securingdemocracy.gmfus.org),Alliance For Securing Democracy,alliance-securing-democracy,https://mediabiasfactcheck.com/alliance-securing-democracy/,center,LEAST BIASED,HIGH,USA,MOSTLY FREE,Organization/Foundation,Medium Traffic,HIGH CREDIBILITY,,,,,,,,,,,
Alloa Advertiser (alloaadvertiser.com),Alloa Advertiser,alloa-advertiser-bias,https://mediabiasfactcheck.com/alloa-advertiser-bias/,center,LEAST BIASED,HIGH,United Kingdom,MOSTLY FREE,Newspaper,Minimal Traffic,HIGH CREDIBILITY,,,,,,,,,,,
Alpena News (thealpenanews.com),Alpena News,alpena-news-bias,https://mediabiasfactcheck.com/alpena-news-bias/,center,LEAST BIASED,HIGH,USA,MOSTLY FREE,Newspaper,Minimal Traffic,HIGH CREDIBILITY,,,,,,,,,,,
Amarillo Globe-News (www.amarillo.com),Amarillo Globe-News,amarillo-globe-news,https://mediabiasfactcheck.com/amarillo-globe-news/,center,LEAST BIASED,HIGH,USA,MOSTLY FREE,Newspaper,Minimal Traffic,HIGH CREDIBILITY,,,,,,,,,,,
American Heritage (www.americanheritage.com),American Heritage,american-heritage,https://mediabiasfactcheck.com/american-heritage/,center,LEAST BIASED,HIGH,USA,MOSTLY FREE,Website,Minimal Traffic,HIGH CREDIBILITY,,,,,,,,,,,
American Press Institute (API) (www.americanpressinstitute.org),American Press Institute,american-press-institute-api,https://mediabiasfactcheck.com/american-press-institute-api/,center,LEAST BIASED,VERY HIGH,USA,MOSTLY FREE,Organization/Foundation,Minimal Traffic,HIGH CREDIBILITY,,,,,,,,,,,
AmoMama (news.amomama.com),AmoMama,amomama,https://mediabiasfactcheck.com/amomama/,center,LEAST BIASED,HIGH,Cyprus,,Website,High Traffic,HIGH CREDIBILITY,MOSTLY FREE,,,,,,,,,,
Anchorage Daily News (adn.com),Anchorage Daily News,anchorage-daily-news,https://mediabiasfactcheck.com/anchorage-daily-news/,center,LEAST BIASED,HIGH,USA,,Newspaper,Medium Traffic,HIGH CREDIBILITY,,,MOSTLY FREE,,,,,,,,
Anderson Independent Mail (independentmail.com),Anderson Independent Mail,anderson-independent-mail,https://mediabiasfactcheck.com/anderson-independent-mail/,center,LEAST BIASED,HIGH,USA,MOSTLY FREE,Newspaper,Minimal Traffic,HIGH CREDIBILITY,,,,,,,,,,,
Andover Advertiser (andoveradvertiser.co.uk),Andover Advertiser,andover-advertiser-bias,https://mediabiasfactcheck.com/andover-advertiser-bias/,center,LEAST BIASED,HIGH,United Kingdom,MOSTLY FREE,Newspaper,Minimal Traffic,HIGH CREDIBILITY,,,,,,,,,,,
Ann Arbor News (mlive.com/ann-arbor/),Ann Arbor News,ann-arbor-news-mlive-com-bias,https://mediabiasfactcheck.com/ann-arbor-news-mlive-com-bias/,center,LEAST BIASED,HIGH,USA,,Website,High Traffic,HIGH CREDIBILITY,,,MOSTLY FREE,,,,,,,,
Arc Digital (arcdigital.media),Arc Digital,arc-digital,https://mediabiasfactcheck.com/arc-digital/,center,LEAST BIASED,HIGH,USA,MOSTLY FREE,Website,Minimal Traffic,HIGH CREDIBILITY,,,,,,,,,,,
Ardrossan and Saltcoats Herald (ardrossanherald.com),Ardrossan and Saltcoats Herald,ardrossan-and-saltcoats-herald-bias,https://mediabiasfactcheck.com/ardrossan-and-saltcoats-herald-bias/,center,LEAST BIASED,HIGH,United Kingdom,MOSTLY FREE,Newspaper,Minimal Traffic,HIGH CREDIBILITY,,,,,,,,,,,
Arenac County Independent (arenacindendent.com),Arenac County Independent,arenac-county-independent-bias,https://mediabiasfactcheck.com/arenac-county-independent-bias/,center,LEAST BIASED,HIGH,USA,MOSTLY FREE,Newspaper,Minimal Traffic,HIGH CREDIBILITY,,,,,,,,,,,
Arirang (arirang.com),Arirang,arirang,https://mediabiasfactcheck.com/arirang/,center,LEAST BIASED,HIGH,South Korea,MOSTLY FREE,TV Station,High Traffic,HIGH CREDIBILITY,,,,,,,,,,,
Army Times,Army Times,army-times,https://mediabiasfactcheck.com/army-times/,center,LEAST BIASED,HIGH,USA,MOSTLY FREE,Newspaper,Medium Traffic,HIGH CREDIBILITY,,,,,,,,,,,
Ars Technica (arstechnica.com),Ars Technica,ars-technica,https://mediabiasfactcheck.com/ars-technica/,center,LEAST BIASED,HIGH,USA,MOSTLY FREE,Website,High Traffic,HIGH CREDIBILITY,,,,,,,,,,,
Asheboro Courier-Tribune (courier-tribune.com),Asheboro Courier-Tribune,asheboro-courier-tribune,https://mediabiasfactcheck.com/asheboro-courier-tribune/,center,LEAST BIASED,HIGH,USA (44/180 Press Freedom),,Website,Minimal Traffic,HIGH CREDIBILITY,,,,,,,,,,,
Asia Times (www.atimes.com),Asia Times,asia-times,https://mediabiasfactcheck.com/asia-times/,center,LEAST BIASED,HIGH,Hong Kong,,Newspaper,Medium Traffic,HIGH CREDIBILITY,,,LIMITED FREEDOM,,,,,,,,
Aspen Times (aspentimes.com),Aspen Times,aspen-times-bias,https://mediabiasfactcheck.com/aspen-times-bias/,center,LEAST BIASED,HIGH,USA,MOSTLY FREE,Newspaper,Medium Traffic,HIGH CREDIBILITY,,,,,,,,,,,
Athens Messenger (athensmessenger.com),Athens Messenger,athens-messenger-bias,https://mediabiasfactcheck.com/athens-messenger-bias/,center,LEAST BIASED,HIGH,USA,MOSTLY FREE,Newspaper,Minimal Traffic,HIGH CREDIBILITY,,,,,,,,,,,
Atlas Obscura (atlasobscura.com),Atlas Obscura,atlas-obscura,https://mediabiasfactcheck.com/atlas-obscura/,center,LEAST BIASED,HIGH,USA,MOSTLY FREE,Website,High Traffic,HIGH CREDIBILITY,,,,,,,,,,,
Auburn Citizen (auburnpub.com),Auburn Citizen,auburn-citizen-bias,https://mediabiasfactcheck.com/auburn-citizen-bias/,center,LEAST BIASED,HIGH,USA,MOSTLY FREE,Newspaper,Medium Traffic,HIGH CREDIBILITY,,,,,,,,,,,
Australian Associated Press (AAP) (aap.com.au),Australian Associated Press,australian-associated-press-aap,https://mediabiasfactcheck.com/australian-associated-press-aap/,center,LEAST BIASED,HIGH,Australia,,News Agency,Medium Traffic,HIGH CREDIBILITY,,,MOSTLY FREE,,,,,,,,
Avenue News (avenuenews.com),Avenue News,avenue-news-bias,https://mediabiasfactcheck.com/avenue-news-bias/,center,LEAST BIASED,HIGH,USA,MOSTLY FREE,Newspaper,Minimal Traffic,HIGH CREDIBILITY,,,,,,,,,,,
Ayr Advertiser (ayradvertiser.com),Ayr Advertiser,ayr-advertiser-bias,https://mediabiasfactcheck.com/ayr-advertiser-bias/,center,LEAST BIASED,HIGH,United Kingdom,MOSTLY FREE,Newspaper,Minimal Traffic,HIGH CREDIBILITY,,,,,,,,,,,
azfamily.com,azfamily.com,azfamily-com,https://mediabiasfactcheck.com/azfamily-com/,center,LEAST BIASED,HIGH,USA,MOSTLY FREE,TV Station,Medium Traffic,HIGH CREDIBILITY,,,,,,,,,,,
Babnet Tunisia (babnet.net),Babnet Tunisia,babnet-bias,https://mediabiasfactcheck.com/babnet-bias/,center,LEAST BIASED,MIXED,Tunisia,MODERATE FREEDOM,Website,Medium Traffic,MEDIUM CREDIBILITY,,,,,,,,,,,
Ballot-Access News (ballot-access.org),Ballot-Access News,ballot-access-news,https://mediabiasfactcheck.com/ballot-access-news/,center,LEAST BIASED,HIGH,USA,MOSTLY FREE,Website,Minimal Traffic,HIGH CREDIBILITY,,,,,,,,,,,
Ballotpedia (ballotpedia.org),Ballotpedia,ballotpedia,https://mediabiasfactcheck.com/ballotpedia/,center,LEAST BIASED,VERY-HIGH,USA,,Organization/Foundation,High Traffic,HIGH CREDIBILITY,,,MOSTLY FREEDOM,,,,,,,,
Barrhead News (barrheadnews.com),Barrhead News,barrhead-news-bias,https://mediabiasfactcheck.com/barrhead-news-bias/,center,LEAST BIASED,HIGH,United Kingdom,MOSTLY FREE,Newspaper,Minimal Traffic,HIGH CREDIBILITY,,,,,,,,,,,
Barry and District News (barryanddistrictnews.co.uk),Barry and District News,barry-and-district-news-bias,https://mediabiasfactcheck.com/barry-and-district-news-bias/,center,LEAST BIASED,HIGH,United Kingdom,MOSTLY FREE,Newspaper,Minimal Traffic,HIGH CREDIBILITY,,,,,,,,,,,
Basingstoke Gazette (basingstokegazette.co.uk),Basingstoke Gazette,basingstoke-gazette-bias,https://mediabiasfactcheck.com/basingstoke-gazette-bias/,center,LEAST BIASED,HIGH,United Kingdom,MOSTLY FREE,Newspaper,Medium Traffic,HIGH CREDIBILITY,,,,,,,,,,,
Bay City Times (mlive.com/saginaw-bay-city/),Bay City Times,bay-city-times-bias,https://mediabiasfactcheck.com/bay-city-times-bias/,center,LEAST BIASED,HIGH,USA,,Website,Medium Traffic,HIGH CREDIBILITY,,,MOSTLY FREE,,,,,,,,
Beatrice Daily Sun (beatricedailysun.com),Beatrice Daily Sun,beatrice-daily-sun-bias,https://mediabiasfactcheck.com/beatrice-daily-sun-bias/,center,LEAST BIASED,HIGH,USA,MOSTLY FREE,Newspaper,Minimal Traffic,HIGH CREDIBILITY,,,,,,,,,,,
Belleville News-Democrat (www.bnd.com),Belleville News-Democrat,belleville-news-democrat,https://mediabiasfactcheck.com/belleville-news-democrat/,center,RIGHT-CENTER,HIGH,USA,MOSTLY FREE,Website,Medium Traffic,HIGH CREDIBILITY,,,,,,,,,,,
Benzinga (benzinga.com),Benzinga,benzinga,https://mediabiasfactcheck.com/benzinga/,center,LEAST BIASED,HIGH,USA,MOSTLY FREE,Website,High Traffic,HIGH CREDIBILITY,,,,,,,,,,,
BestLife (bestlifeonline.com),BestLife,bestlife,https://mediabiasfactcheck.com/bestlife/,center,LEAST BIASED,MOSTLY FACTUAL,USA,MOSTLY FREE,Website,High Traffic,HIGH CREDIBILITY,,,,,,,,,,,
Better Government Association (www.bettergov.org),Better Government Association,better-government-association,https://mediabiasfactcheck.com/better-government-association/,center,LEAST BIASED,HIGH,USA,MOSTLY FREE,Organization/Foundation,Minimal Traffic,HIGH CREDIBILITY,,,,,,,,,,,
Bicester Advertiser (bicesteradvertiser.net),Bicester Advertiser,bicester-advertiser-bias,https://mediabiasfactcheck.com/bicester-advertiser-bias/,center,LEAST BIASED,HIGH,United Kingdom,MOSTLY FREE,Newspaper,Minimal Traffic,HIGH CREDIBILITY,,,,,,,,,,,
Big Country 99.5 – Tulsa (bigcountry995.com),Big Country 99.5 – Tulsa,big-country-99-5-tulsa-bias,https://mediabiasfactcheck.com/big-country-99-5-tulsa-bias/,center,LEAST BIASED,HIGH,USA,MOSTLY FREE,Radio Station,Minimal Traffic,HIGH CREDIBILITY,,,,,,,,,,,
Big News Network (www.bignewsnetwork.com),Big News Network,big-news-network,https://mediabiasfactcheck.com/big-news-network/,center,LEAST BIASED,MOSTLY FACTUAL,United Arab Emirates,LIMITED FREEDOM,Website,Medium Traffic,HIGH CREDIBILITY,,,,,,,,,,,
Big Think (bigthink.com),Big Think,big-think,https://mediabiasfactcheck.com/big-think/,center,LEAST BIASED,HIGH,USA,,Website,High Traffic,HIGH CREDIBILITY,,,MOSTLY FREE,,,,,,,,
Biloxi Sun Herald,Biloxi Sun Herald,biloxi-sun-herald,https://mediabiasfactcheck.com/biloxi-sun-herald/,center,LEAST BIASED,HIGH,USA,,Newspaper,Medium Traffic,HIGH CREDIBILITY,,,MOSTLY FREE,,,,,,,,
Binghamton Press & Sun Bulletin (pressconnects.com),Binghamton Press & Sun Bulletin,binghamton-press-sun-bulletin,https://mediabiasfactcheck.com/binghamton-press-sun-bulletin/,center,LEAST BIASED,HIGH,USA,MOSTLY FREE,Newspaper,Medium Traffic,HIGH CREDIBILITY,,,,,,,,,,,
Biography (A&E) (biography.com),Biography,biography-ae-bias,https://mediabiasfactcheck.com/biography-ae-bias/,center,LEAST BIASED,HIGH,USA,MOSTLY FREE,Website,High Traffic,HIGH CREDIBILITY,,,,,,,,,,,
Bismarck Tribune (bismarcktribune.com),Bismarck Tribune,bismarck-tribune,https://mediabiasfactcheck.com/bismarck-tribune/,center,LEAST BIASED,HIGH,USA,MOSTLY FREE,Newspaper,Medium Traffic,HIGH CREDIBILITY,,,,,,,,,,,
BlastingNews (us.blastingnews.com),BlastingNews,blastingnews,https://mediabiasfactcheck.com/blastingnews/,center,LEAST BIASED,HIGH,United Kingdom,MOSTLY FREE,Website,High Traffic,HIGH CREDIBILITY,,,,,,,,,,,
Bleeping Computer (https://www.bleepingcomputer.com),Bleeping Computer,bleeping-computer-bias-rating,https://mediabiasfactcheck.com/bleeping-computer-bias-rating/,center,LEAST BIASED,HIGH,USA,MOSTLY FREE,Website,High Traffic,HIGH CREDIBILITY,,,,,,,,,,,
BNO News (bnonews.com),BNO News,bno-news,https://mediabiasfactcheck.com/bno-news/,center,LEAST BIASED,HIGH,Netherlands,,News Agency,Medium Traffic,HIGH CREDIBILITY,,,EXCELLENT,,,,,,,,
Bonners Ferry Herald (bonnersferryherald.com),Bonners Ferry Herald,bonners-ferry-herald-bias,https://mediabiasfactcheck.com/bonners-ferry-herald-bias/,center,LEAST BIASED,HIGH,USA,,Newspaper,Minimal Traffic,HIGH CREDIBILITY,MOSTLY FREE,,,,,,,,,,
Boonville Daily News (boonvilledailynews.com),Boonville Daily News,boonville-daily-news-bias,https://mediabiasfactcheck.com/boonville-daily-news-bias/,center,LEAST BIASED,HIGH,USA,MOSTLY FREE,Newspaper,Minimal Traffic,HIGH CREDIBILITY,,,,,,,,,,,
Border Counties Advertizer (bordercountyadvertizer.co.uk),Border Counties Advertizer,border-counties-advertiser-bias,https://mediabiasfactcheck.com/border-counties-advertiser-bias/,center,LEAST BIASED,HIGH,United Kingdom,MOSTLY FREE,Newspaper,Minimal Traffic,HIGH CREDIBILITY,,,,,,,,,,,
BorderReport (borderreport.com),BorderReport,borderreport-bias,https://mediabiasfactcheck.com/borderreport-bias/,center,LEAST BIASED,HIGH,USA,MOSTLY FREE,Website,Medium Traffic,HIGH CREDIBILITY,,,,,,,,,,,
Border Telegraph (bordertelegraph.com),Border Telegraph,border-telegraph-bias,https://mediabiasfactcheck.com/border-telegraph-bias/,center,LEAST BIASED,HIGH,United Kingdom,MOSTLY FREE,Newspaper,Minimal Traffic,HIGH CREDIBILITY,,,,,,,,,,,
Borehamwood Times (borehamwoodtimes.co.uk),Borehamwood Times,borehamwood-times-bias,https://mediabiasfactcheck.com/borehamwood-times-bias/,center,LEAST BIASED,HIGH,United Kingdom,MOSTLY FREE,Newspaper,Minimal Traffic,HIGH CREDIBILITY,,,,,,,,,,,
Bournemouth Daily Echo (bournemouthecho.co.uk),Bournemouth Daily Echo,bournemouth-daily-echo-bias,https://mediabiasfactcheck.com/bournemouth-daily-echo-bias/,center,LEAST BIASED,HIGH,United Kingdom,MOSTLY FREE,Newspaper,High Traffic,HIGH CREDIBILITY,,,,,,,,,,,
Bozeman Daily Chronicle,Bozeman Daily Chronicle,bozeman-daily-chronicle,https://mediabiasfactcheck.com/bozeman-daily-chronicle/,center,LEAST BIASED,HIGH,USA,MOSTLY FREE,Newspaper,Medium Traffic,HIGH CREDIBILITY,,,,,,,,,,,
Bracknell News (bracknellnews.co.uk),Bracknell News,bracknell-news-bias,https://mediabiasfactcheck.com/bracknell-news-bias/,center,LEAST BIASED,HIGH,United Kingdom,MOSTLY FREE,Newspaper,Minimal Traffic,HIGH CREDIBILITY,,,,,,,,,,,
Bradford Telegraph and Argus (thetelegraphandargus.co.uk),Bradford Telegraph and Argus,bradford-telegraph-and-argus-bias,https://mediabiasfactcheck.com/bradford-telegraph-and-argus-bias/,center,LEAST BIASED,HIGH,United Kingdom,MOSTLY FREE,Newspaper,High Traffic,HIGH CREDIBILITY,,,,,,,,,,,
Braintree & Witham Times (braintreeandwithamtimes.co.uk),Braintree & Witham Times,braintree-witham-times-bias,https://mediabiasfactcheck.com/braintree-witham-times-bias/,center,LEAST BIASED,HIGH,United Kingdom,MOSTLY FREE,Newspaper,Minimal Traffic,HIGH CREDIBILITY,,,,,,,,,,,
Brentwood Live (brentwoodlive.co.uk),Brentwood Live,brentwood-live-bias,https://mediabiasfactcheck.com/brentwood-live-bias/,center,LEAST BIASED,HIGH,United Kingdom,MOSTLY FREE,Newspaper,Minimal Traffic,HIGH CREDIBILITY,,,,,,,,,,,
Bridge Magazine (www.bridgemi.com),Bridge Magazine,bridge-magazine,https://mediabiasfactcheck.com/bridge-magazine/,center,LEFT-CENTER,HIGH,USA,,Organization/Foundation,Medium Traffic,HIGH CREDIBILITY,,,MOSTLY FREE,,,,,,,,
Bridgewater Mercury (bridgewatermercury.co.uk),Bridgewater Mercury,bridgewater-mercury-bias,https://mediabiasfactcheck.com/bridgewater-mercury-bias/,center,LEAST BIASED,HIGH,United Kingdom,MOSTLY FREE,Newspaper,Minimal Traffic,HIGH CREDIBILITY,,,,,,,,,,,
Bridport and Lyme Regis News (bridportnews.co.uk),Bridport and Lyme Regis News,bridport-and-lyme-regis-news-bias,https://mediabiasfactcheck.com/bridport-and-lyme-regis-news-bias/,center,LEAST BIASED,HIGH,United Kingdom,MOSTLY FREE,Newspaper,Minimal Traffic,HIGH CREDIBILITY,,,,,,,,,,,
Bring Me The News (bringmethenews.com),Bring Me The News,bring-me-the-news,https://mediabiasfactcheck.com/bring-me-the-news/,center,LEAST BIASED,HIGH,USA,MOSTLY FREE,Website,Medium Traffic,HIGH CREDIBILITY,,,,,,,,,,,
Bristol Herald Courier (heraldcourier.com),Bristol Herald Courier,bristol-herald-courier-bias,https://mediabiasfactcheck.com/bristol-herald-courier-bias/,center,LEAST BIASED,HIGH,USA,MOSTLY FREE,Newspaper,Minimal Traffic,HIGH CREDIBILITY,,,,,,,,,,,
Bromsgrove Advertiser (bromsgroveadvertiser.co.uk),Bromsgrove Advertiser,bromsgrove-advertiser-bias,https://mediabiasfactcheck.com/bromsgrove-advertiser-bias/,center,LEAST BIASED,HIGH,United Kingdom,MOSTLY FREE,Newspaper,Minimal Traffic,HIGH CREDIBILITY,,,,,,,,,,,
Bryan-College Station Eagle (theeagle.com),Bryan-College Station Eagle,bryan-college-station-eagle-bias,https://mediabiasfactcheck.com/bryan-college-station-eagle-bias/,center,LEAST BIASED,HIGH,USA,MOSTLY FREE,Newspaper,Medium Traffic,HIGH CREDIBILITY,,,,,,,,,,,
Buck Free Press (bucksfreepress.co.uk),Buck Free Press,bucks-free-press-bias,https://mediabiasfactcheck.com/bucks-free-press-bias/,center,LEAST BIASED,HIGH,United Kingdom,MOSTLY FREE,Newspaper,Medium Traffic,HIGH CREDIBILITY,,,,,,,,,,,
Buffalo Center Tribune (thebuffalocentertribune.com),Buffalo Center Tribune,buffalo-center-tribune-bias,https://mediabiasfactcheck.com/buffalo-center-tribune-bias/,center,LEAST BIASED,HIGH,USA,MOSTLY FREE,Newspaper,Minimal Traffic,HIGH CREDIBILITY,,,,,,,,,,,
Buffalo News (www.buffalonews.com),Buffalo News,buffalo-news,https://mediabiasfactcheck.com/buffalo-news/,center,LEAST BIASED,HIGH,USA,MOSTLY FREE,Newspaper,High Traffic,HIGH CREDIBILITY,,,,,,,,,,,
